Date,Time,"Virtual Memory Commited [MB]","Virtual Memory Available [MB]","Virtual Memory Load [%]","Physical Memory Used [MB]","Physical Memory Available [MB]","Physical Memory Load [%]","Page File Usage [%]","Core 0 VID [V]","Core 1 VID [V]","Core 2 VID [V]","Core 3 VID [V]","Core 4 VID [V]","Core 5 VID [V]","Core 0 Clock (perf #2/4) [MHz]","Core 1 Clock (perf #1/2) [MHz]","Core 2 Clock (perf #1/1) [MHz]","Core 3 Clock (perf #4/6) [MHz]","Core 4 Clock (perf #3/3) [MHz]","Core 5 Clock (perf #5/5) [MHz]","Bus Clock [MHz]","Core 0 T0 Effective Clock [MHz]","Core 0 T1 Effective Clock [MHz]","Core 1 T0 Effective Clock [MHz]","Core 1 T1 Effective Clock [MHz]","Core 2 T0 Effective Clock [MHz]","Core 2 T1 Effective Clock [MHz]","Core 3 T0 Effective Clock [MHz]","Core 3 T1 Effective Clock [MHz]","Core 4 T0 Effective Clock [MHz]","Core 4 T1 Effective Clock [MHz]","Core 5 T0 Effective Clock [MHz]","Core 5 T1 Effective Clock [MHz]","Average Effective Clock [MHz]","Core 0 T0 Usage [%]","Core 0 T1 Usage [%]","Core 1 T0 Usage [%]","Core 1 T1 Usage [%]","Core 2 T0 Usage [%]","Core 2 T1 Usage [%]","Core 3 T0 Usage [%]","Core 3 T1 Usage [%]","Core 4 T0 Usage [%]","Core 4 T1 Usage [%]","Core 5 T0 Usage [%]","Core 5 T1 Usage [%]","Max CPU/Thread Usage [%]","Total CPU Usage [%]","Core 0 Ratio [x]","Core 1 Ratio [x]","Core 2 Ratio [x]","Core 3 Ratio [x]","Core 4 Ratio [x]","Core 5 Ratio [x]","Package C6 Residency [%]","Core 0 C0 Residency [%]","Core 1 C0 Residency [%]","Core 2 C0 Residency [%]","Core 3 C0 Residency [%]","Core 4 C0 Residency [%]","Core 5 C0 Residency [%]","Core 0 C1 Residency [%]","Core 1 C1 Residency [%]","Core 2 C1 Residency [%]","Core 3 C1 Residency [%]","Core 4 C1 Residency [%]","Core 5 C1 Residency [%]","Core 0 C6 Residency [%]","Core 1 C6 Residency [%]","Core 2 C6 Residency [%]","Core 3 C6 Residency [%]","Core 4 C6 Residency [%]","Core 5 C6 Residency [%]","Memory Clock [MHz]","Memory Clock Ratio [x]","Tcas [T]","Trcd [T]","Trp [T]","Tras [T]","Trc [T]","Trfc [T]","Command Rate [T]","CPU (Tctl/Tdie) [°C]","CPU Die (average) [°C]","CPU CCD1 (Tdie) [°C]","CPU Core Voltage (SVI2 TFN) [V]","SoC Voltage (SVI2 TFN) [V]","CPU Core VID (Effective) [V]","CPU Core Current (SVI2 TFN) [A]","SoC Current (SVI2 TFN) [A]","CPU TDC [A]","CPU EDC [A]","CPU Package Power (SMU) [W]","Core 0 Power (SMU) [W]","Core 1 Power (SMU) [W]","Core 2 Power (SMU) [W]","Core 3 Power (SMU) [W]","Core 4 Power (SMU) [W]","Core 5 Power (SMU) [W]","CPU Core Power [W]","CPU SoC Power [W]","Core+SoC Power [W]","CPU PPT [W]","Infinity Fabric Clock (FCLK) [MHz]","Memory Controller Clock (UCLK) [MHz]","CPU PPT Limit [%]","CPU TDC Limit [%]","CPU EDC Limit [%]","Power Reporting Deviation (Accuracy) [%]","Thermal Throttling (HTC) [Yes/No]","Thermal Throttling (PROCHOT CPU) [Yes/No]","Thermal Throttling (PROCHOT EXT) [Yes/No]","Motherboard [°C]","CPU [°C]","Auxiliary [°C]","CPU (PECI) [°C]","Vcore [V]","+3.3V (AVCC) [V]","+3.3V (3VCC) [V]","VIN4 [V]","3VSB [V]","VBAT [V]","VTT [V]","VIN5 [V]","VIN6 [V]","+12V [V]","+5V [V]","CPU1 [RPM]","Chassis2 [RPM]","Chassis Intrusion [Yes/No]","Drive Temperature [°C]","Drive Remaining Life [%]","Drive Failure [Yes/No]","Drive Warning [Yes/No]","Total Host Writes [GB]","Total Host Reads [GB]","Read Activity [%]","Write Activity [%]","Total Activity [%]","Read Rate [MB/s]","Write Rate [MB/s]","Read Total [MB]","Write Total [MB]","GPU Thermal Diode [°C]","GPU Core Voltage (VDDC) [V]","GPU Fan (ODN) [RPM]","GPU Core Current [A]","GPU Core Power [W]","GPU Chip Power [W]","GPU Clock [MHz]","GPU Memory Clock [MHz]","GPU Utilization [%]","GPU D3D Usage [%]","GPU Memory Controller Utilization [%]","GPU I/O Utilization [%]","GPU Video Decode 0 Usage [%]","GPU Video Encode 0 Usage [%]","GPU Video Encode 1 Usage [%]","GPU Video Encode 2 Usage [%]","GPU Video Encode 3 Usage [%]","GPU Video Encode 4 Usage [%]","GPU Computing (High Priority Compute) Usage [%]","GPU Computing (Compute 3) Usage [%]","GPU Computing (Compute 0) Usage [%]","GPU Computing (Compute 1) Usage [%]","GPU Fan Speed [%]","GPU D3D Memory Dedicated [MB]","GPU D3D Memory Dynamic [MB]","PCIe Link Speed [GT/s]","GPU Memory Usage [MB]","GPU Memory Errors []","GPU Voltage [V]","GPU VRM Voltage In (VIN/+12V) [V]","GPU VID [V]","GPU Current [A]","GPU VRM Power Out (POUT) [W]","Total DL [MB]","Total UP [MB]","Current DL rate [KB/s]","Current UP rate [KB/s]","Total DL [MB]","Total UP [MB]","Current DL rate [KB/s]","Current UP rate [KB/s]","Total Errors []","GPU Aux Current [A]","Framerate [FPS]","Framerate 1% Low [FPS]","Framerate 0.1% Low [FPS]",
18.2.2021,16:38:29.683,14837,22725,39.4,8695,24003,26.5,0.0,0.931,0.931,0.931,0.931,0.931,0.931,2196.0,2196.0,2196.0,2196.0,2196.0,2196.0,99.8,967.5,338.6,621.1,361.3,448.7,366.6,0.4,0.6,11.7,4.2,0.5,0.4,260.1,18.4,12.3,22.3,16.1,16.1,10.0,0.0,0.0,0.0,0.0,0.0,0.0,22.3,7.9,22.0,22.0,22.0,22.0,22.0,22.0,0.0,44.0,47.8,43.0,0.1,14.8,0.1,56.0,52.2,57.0,0.0,85.2,0.0,0.0,0.0,0.0,99.9,0.0,99.9,1597.1,16.00,16,18,18,38,75,560,1,33.8,33.1,33.3,0.938,1.087,0.938,8.777,10.934,8.776,8.776,30.564,0.831,0.859,0.750,0.001,0.277,0.000,8.172,11.890,20.062,30.626,1500.0,800.0,34.8,14.6,9.8,295.1,No,No,No,37.0,33.8,37.0,40.0,0.928,3.312,3.296,0.792,3.424,3.280,1.840,0.176,0.128,11.986,5.016,1113,2755,No,34,100.0,No,No,3691,1803,0.0,0.7,0.7,0.000,0.026,8888,4176,56,1.138,1031,70.031,79.661,95.555,1340.0,1750.0,0.0,55.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,4045,123,8.0,3967,0,1.113,11.453,1.138,40.039,42.578,0,0,0.000,0.000,239,10,4.396,1.404,0,1.000,60,59,59,
18.2.2021,16:38:31.715,14834,22728,39.4,8693,24006,26.5,0.0,0.938,0.938,0.938,0.938,0.938,0.938,2196.0,2196.0,2196.0,2196.0,2196.0,2196.0,99.8,1024.8,381.9,652.4,380.5,506.5,379.8,0.5,0.5,12.1,5.0,1.6,0.9,278.9,23.0,16.1,23.0,15.3,17.6,11.5,0.0,0.0,0.0,0.0,0.0,0.0,23.0,8.9,22.0,22.0,22.0,22.0,22.0,22.0,0.0,46.6,50.7,46.8,0.1,15.9,0.3,53.4,49.3,53.2,0.0,84.1,0.1,0.0,0.0,0.0,99.9,0.0,99.6,1597.1,16.00,16,18,18,38,75,560,1,33.6,33.1,33.5,0.938,1.087,0.938,8.871,11.021,8.869,8.869,30.754,0.879,0.907,0.805,0.001,0.280,0.003,8.262,11.986,20.247,30.817,1500.0,800.0,35.0,14.8,9.9,282.3,No,No,No,37.0,33.6,37.0,40.0,0.928,3.312,3.296,0.792,3.424,3.280,1.840,0.176,0.128,11.933,5.016,1123,2749,No,34,100.0,No,No,3691,1803,0.0,0.7,0.7,0.000,0.006,8888,4176,58,1.106,1048,95.344,105.474,130.859,1340.0,1750.0,100.0,64.6,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,4045,123,8.0,3967,0,1.131,11.484,1.138,83.203,99.414,0,0,0.000,0.000,239,10,0.031,1.240,0,0.000,82,59,59,
18.2.2021,16:38:33.747,14835,22727,39.4,8696,24002,26.5,0.0,0.931,0.931,0.931,0.931,0.931,0.931,2196.0,2196.0,2196.0,2196.0,2196.0,2196.0,99.8,1307.0,701.6,646.2,688.8,518.9,633.1,0.6,0.5,13.3,7.5,0.6,2.5,376.7,30.7,28.4,26.1,24.6,18.4,23.8,0.0,0.0,0.0,0.0,0.0,0.0,30.7,12.7,22.0,22.0,22.0,22.0,22.0,22.0,0.0,59.4,61.7,57.7,0.1,18.6,0.4,40.6,38.3,42.3,0.0,81.4,0.1,0.0,0.0,0.0,99.9,0.0,99.5,1597.1,16.00,16,18,18,38,75,560,1,33.6,33.6,34.8,0.938,1.087,0.931,9.188,11.492,9.187,9.187,31.569,1.125,1.101,0.988,0.001,0.289,0.004,8.546,12.498,21.044,31.646,1500.0,800.0,36.0,15.3,10.2,240.1,No,No,No,37.0,33.6,37.0,40.0,0.928,3.312,3.296,0.792,3.424,3.280,1.840,0.176,0.128,11.933,5.016,1133,2749,No,34,100.0,No,No,3691,1803,0.0,0.3,0.3,0.000,0.006,8888,4176,60,1.125,1064,94.500,106.313,133.367,1340.0,1750.0,100.0,100.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,4045,123,8.0,3967,0,1.138,11.453,1.144,90.625,102.734,0,0,0.000,0.000,239,10,0.000,1.142,0,0.000,112,59,59,
18.2.2021,16:38:35.783,14835,22727,39.4,8696,24003,26.5,0.0,0.931,0.931,0.931,0.931,0.931,0.931,2196.0,2196.0,2196.0,2196.0,2196.0,2196.0,99.8,1291.5,725.3,642.6,696.8,515.3,625.3,7.3,0.6,15.2,6.5,0.6,0.7,377.3,28.4,27.6,26.9,26.9,23.8,27.6,0.0,0.0,0.0,0.0,0.0,0.0,28.4,13.4,22.0,22.0,22.0,22.0,22.0,22.0,0.0,58.7,61.1,56.3,0.4,18.9,0.1,41.3,38.9,43.7,0.0,81.1,0.0,0.0,0.0,0.0,99.5,0.0,99.8,1597.1,16.00,16,18,18,38,75,560,1,33.6,33.6,33.3,0.925,1.087,0.931,9.171,11.497,9.172,9.172,31.565,1.121,1.108,0.961,0.006,0.289,0.001,8.526,12.504,21.030,31.633,1500.0,800.0,35.9,15.3,10.2,241.0,No,No,No,37.0,33.6,37.0,40.0,0.928,3.312,3.296,0.792,3.424,3.280,1.840,0.176,0.128,11.933,5.016,1113,2760,No,34,100.0,No,No,3691,1803,0.0,0.6,0.6,0.000,0.006,8888,4176,60,1.138,1087,98.719,112.293,134.867,1340.0,1750.0,100.0,100.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,4045,123,8.0,3967,0,1.131,11.563,1.144,83.398,99.707,0,0,0.000,0.000,239,10,0.138,1.404,0,0.000,108,59,59,
18.2.2021,16:38:37.816,14824,22738,39.4,8759,23940,26.7,0.0,0.931,0.931,0.931,0.925,0.925,0.925,2196.0,2196.0,2196.0,2196.0,2196.0,2196.0,99.8,1331.9,720.5,731.7,863.5,559.9,736.3,2.0,2.0,417.5,116.3,1.9,2.4,457.1,22.9,32.8,32.0,32.8,17.5,25.9,0.0,0.0,15.2,3.0,0.0,0.0,32.8,15.2,22.0,22.0,22.0,22.0,22.0,22.0,0.0,60.5,67.9,58.9,0.3,37.2,0.4,39.5,32.1,41.1,0.1,62.8,0.1,0.0,0.0,0.0,99.6,0.0,99.5,1597.1,16.00,16,18,18,38,75,560,1,33.9,33.9,34.5,0.925,1.087,0.931,9.466,11.531,9.464,9.464,31.901,1.107,1.233,1.010,0.003,0.633,0.003,8.798,12.540,21.338,31.967,1500.0,800.0,36.3,15.8,10.5,217.9,No,No,No,37.0,33.9,37.0,40.0,0.928,3.312,3.296,0.792,3.424,3.280,1.840,0.176,0.128,11.933,5.016,1122,2749,No,33,100.0,No,No,3691,1803,0.3,0.9,1.2,0.006,0.141,8888,4176,60,1.144,1100,78.469,89.749,123.281,1340.0,1750.0,13.0,98.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,3987,126,8.0,3910,0,1.138,11.453,1.144,75.977,88.281,0,0,0.000,0.000,239,10,0.327,1.267,0,0.000,90,59,31,
18.2.2021,16:38:39.847,14859,22703,39.5,8765,23934,26.8,0.0,0.931,0.931,0.931,0.931,0.931,0.931,2196.0,2196.0,2196.0,2196.0,2196.0,2196.0,99.8,1554.7,670.3,524.1,1378.9,645.6,681.5,1.0,1.0,646.0,130.2,1.0,1.5,519.6,24.8,24.8,19.3,61.2,22.4,27.1,0.0,0.0,27.1,1.5,0.0,0.0,61.2,17.4,22.0,22.0,22.0,22.0,22.0,22.0,0.0,70.7,87.3,68.2,0.3,53.3,0.4,29.3,12.7,31.8,0.1,46.7,0.1,0.0,0.0,0.0,99.7,0.0,99.5,1597.1,16.00,16,18,18,38,75,560,1,34.1,34.4,35.0,0.925,1.087,0.931,9.920,11.459,9.920,9.920,32.266,1.162,1.610,1.155,0.002,0.812,0.004,9.208,12.461,21.669,32.325,1500.0,800.0,36.7,16.5,11.0,191.9,No,No,No,37.0,34.1,37.0,40.0,0.928,3.312,3.296,0.792,3.424,3.280,1.840,0.176,0.128,11.986,5.016,1119,2755,No,34,100.0,No,No,3691,1803,0.0,0.7,0.7,0.016,0.221,8888,4177,57,1.106,1131,77.625,85.873,90.977,1323.6,1750.0,100.0,65.3,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,4002,126,8.0,3925,0,1.138,11.531,1.138,48.828,53.223,0,0,0.000,0.000,239,10,0.141,1.307,0,1.000,48,39,31,
18.2.2021,16:38:41.881,14887,22675,39.6,8761,23938,26.7,0.0,0.931,0.931,0.931,0.931,0.931,0.931,2196.0,2196.0,2196.0,2196.0,2196.0,2196.0,99.8,1883.5,1161.6,961.5,618.5,1420.5,477.9,0.6,0.5,5.7,16.9,0.5,0.6,545.7,17.6,50.7,40.7,23.0,59.2,17.6,0.0,0.0,0.0,0.0,0.0,0.0,59.2,17.4,22.0,22.0,22.0,22.0,22.0,22.0,0.0,85.6,75.8,84.7,0.1,21.9,0.1,14.4,24.2,15.3,0.0,78.1,0.0,0.0,0.0,0.0,99.9,0.0,99.9,1597.1,16.00,16,18,18,38,75,560,1,34.3,34.6,34.8,0.925,1.087,0.931,9.898,11.445,9.898,9.898,32.215,1.489,1.329,1.604,0.001,0.297,0.001,9.182,12.446,21.628,32.293,1500.0,800.0,36.7,16.5,11.0,192.3,No,No,No,37.0,34.3,37.0,40.0,0.928,3.312,3.296,0.792,3.424,3.280,1.840,0.176,0.128,11.933,5.016,1113,2749,No,34,100.0,No,No,3691,1803,0.0,0.6,0.6,0.000,0.016,8888,4177,57,1.138,1118,46.406,52.787,92.723,1330.8,1750.0,50.0,61.5,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,4021,126,8.0,3943,0,1.138,11.625,1.138,29.102,44.434,0,0,0.000,0.000,239,10,0.147,1.308,0,0.000,45,39,31,
18.2.2021,16:38:43.919,14888,22674,39.6,8761,23937,26.7,0.0,0.931,0.931,0.931,0.931,0.931,0.931,2196.0,2196.0,2196.0,2196.0,2196.0,2196.0,99.8,1894.0,1165.3,998.1,716.2,1225.6,504.8,22.2,0.5,5.8,16.9,0.5,0.6,545.9,27.4,52.6,38.1,27.4,54.9,19.8,0.0,0.0,0.0,0.0,0.0,0.0,54.9,18.4,22.0,22.0,22.0,22.0,22.0,22.0,0.0,86.1,80.3,80.6,4.3,22.2,0.1,13.9,19.7,19.4,25.4,77.8,0.0,0.0,0.0,0.0,70.3,0.0,99.8,1597.1,16.00,16,18,18,38,75,560,1,34.4,34.5,34.8,0.938,1.087,0.938,9.909,11.461,9.909,9.952,32.280,1.544,1.419,1.453,0.094,0.299,0.001,9.221,12.464,21.685,32.344,1500.0,800.0,36.8,16.5,11.1,189.7,No,No,No,37.0,34.4,37.0,40.0,0.928,3.312,3.296,0.792,3.424,3.280,1.840,0.176,0.128,12.038,5.016,1124,2755,No,34,100.0,No,No,3691,1803,0.0,0.6,0.6,0.000,0.026,8888,4177,58,1.100,1108,83.531,91.884,101.281,1339.2,1750.0,58.0,66.7,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,4037,126,8.0,3960,0,1.138,11.531,1.138,41.602,48.145,0,0,0.000,0.000,239,10,0.490,2.298,0,0.000,59,39,31,
18.2.2021,16:38:45.964,14921,22642,39.7,8853,23846,27.0,0.0,0.931,0.931,0.931,0.938,0.938,0.938,2196.0,2196.0,2196.0,2196.0,2196.0,2196.0,99.8,1890.0,1251.9,756.7,934.2,734.2,1128.0,25.4,3.8,9.0,10.5,3.8,3.8,562.6,22.3,52.3,32.3,43.0,32.3,46.1,0.0,0.0,0.0,0.0,0.0,0.0,52.3,19.0,22.0,22.0,22.0,22.0,22.0,22.0,0.0,85.9,79.1,83.0,1.5,16.4,0.5,14.1,20.9,17.0,0.5,83.6,0.6,0.0,0.0,0.0,98.0,0.0,99.0,1597.1,16.00,16,18,18,38,75,560,1,34.5,34.6,34.8,0.938,1.087,0.938,9.902,11.466,9.901,9.901,32.259,1.523,1.370,1.537,0.022,0.281,0.005,9.186,12.470,21.656,32.328,1500.0,800.0,36.7,16.5,11.0,191.7,No,No,No,37.0,34.4,37.0,40.0,0.928,3.312,3.296,0.792,3.424,3.280,1.840,0.176,0.128,11.986,5.016,1112,2749,No,33,100.0,No,No,3691,1803,0.0,0.3,0.3,0.000,0.042,8888,4177,57,1.138,1080,35.438,40.310,93.422,1335.0,1750.0,5.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,3966,128,8.0,3889,0,1.131,11.594,1.138,47.070,47.803,0,0,0.000,0.000,239,10,0.192,1.306,0,0.000,56,39,31,
18.2.2021,16:38:48.003,14921,22641,39.7,8860,23838,27.0,0.0,0.931,0.931,0.931,0.931,0.931,0.931,2196.0,2196.0,2196.0,2196.0,2196.0,2196.0,99.8,1920.3,1316.5,693.3,1049.6,563.2,1431.7,1.1,1.1,9.6,8.6,1.1,1.3,583.1,22.1,55.7,30.5,45.0,19.0,64.8,0.0,0.0,0.0,0.0,0.0,0.0,64.8,19.8,22.0,22.0,22.0,22.0,22.0,22.0,0.0,87.3,79.7,86.6,0.2,18.5,0.2,12.7,20.3,13.4,0.0,81.5,0.0,0.0,0.0,0.0,99.8,0.0,99.8,1597.1,16.00,16,18,18,38,75,560,1,34.5,34.6,34.8,0.925,1.087,0.931,9.901,11.488,9.901,9.901,32.288,1.552,1.381,1.658,0.001,0.286,0.002,9.182,12.494,21.676,32.354,1500.0,800.0,36.8,16.5,11.0,186.2,No,No,No,37.0,34.5,37.0,40.0,0.928,3.312,3.296,0.792,3.424,3.280,1.840,0.176,0.128,11.933,5.016,1125,2766,No,33,100.0,No,No,3691,1803,0.0,0.6,0.6,0.000,0.240,8888,4177,60,1.113,1070,92.813,103.254,129.531,1340.0,1750.0,100.0,85.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,3980,128,8.0,3903,0,1.106,11.516,1.144,86.328,102.344,0,0,0.000,0.000,239,10,0.319,1.195,0,1.000,107,39,31,
