Date,Time,"Virtual Memory Commited [MB]","Virtual Memory Available [MB]","Virtual Memory Load [%]","Physical Memory Used [MB]","Physical Memory Available [MB]","Physical Memory Load [%]","Page File Usage [%]","Core 0 VID [V]","Core 1 VID [V]","Core 2 VID [V]","Core 3 VID [V]","Core 4 VID [V]","Core 5 VID [V]","Core 0 Clock (perf #2/4) [MHz]","Core 1 Clock (perf #1/2) [MHz]","Core 2 Clock (perf #1/1) [MHz]","Core 3 Clock (perf #4/6) [MHz]","Core 4 Clock (perf #3/3) [MHz]","Core 5 Clock (perf #5/5) [MHz]","Bus Clock [MHz]","Core 0 T0 Effective Clock [MHz]","Core 0 T1 Effective Clock [MHz]","Core 1 T0 Effective Clock [MHz]","Core 1 T1 Effective Clock [MHz]","Core 2 T0 Effective Clock [MHz]","Core 2 T1 Effective Clock [MHz]","Core 3 T0 Effective Clock [MHz]","Core 3 T1 Effective Clock [MHz]","Core 4 T0 Effective Clock [MHz]","Core 4 T1 Effective Clock [MHz]","Core 5 T0 Effective Clock [MHz]","Core 5 T1 Effective Clock [MHz]","Average Effective Clock [MHz]","Core 0 T0 Usage [%]","Core 0 T1 Usage [%]","Core 1 T0 Usage [%]","Core 1 T1 Usage [%]","Core 2 T0 Usage [%]","Core 2 T1 Usage [%]","Core 3 T0 Usage [%]","Core 3 T1 Usage [%]","Core 4 T0 Usage [%]","Core 4 T1 Usage [%]","Core 5 T0 Usage [%]","Core 5 T1 Usage [%]","Max CPU/Thread Usage [%]","Total CPU Usage [%]","Core 0 Ratio [x]","Core 1 Ratio [x]","Core 2 Ratio [x]","Core 3 Ratio [x]","Core 4 Ratio [x]","Core 5 Ratio [x]","Package C6 Residency [%]","Core 0 C0 Residency [%]","Core 1 C0 Residency [%]","Core 2 C0 Residency [%]","Core 3 C0 Residency [%]","Core 4 C0 Residency [%]","Core 5 C0 Residency [%]","Core 0 C1 Residency [%]","Core 1 C1 Residency [%]","Core 2 C1 Residency [%]","Core 3 C1 Residency [%]","Core 4 C1 Residency [%]","Core 5 C1 Residency [%]","Core 0 C6 Residency [%]","Core 1 C6 Residency [%]","Core 2 C6 Residency [%]","Core 3 C6 Residency [%]","Core 4 C6 Residency [%]","Core 5 C6 Residency [%]","Memory Clock [MHz]","Memory Clock Ratio [x]","Tcas [T]","Trcd [T]","Trp [T]","Tras [T]","Trc [T]","Trfc [T]","Command Rate [T]","CPU (Tctl/Tdie) [°C]","CPU Die (average) [°C]","CPU CCD1 (Tdie) [°C]","CPU Core Voltage (SVI2 TFN) [V]","SoC Voltage (SVI2 TFN) [V]","CPU Core VID (Effective) [V]","CPU Core Current (SVI2 TFN) [A]","SoC Current (SVI2 TFN) [A]","CPU TDC [A]","CPU EDC [A]","CPU Package Power (SMU) [W]","Core 0 Power (SMU) [W]","Core 1 Power (SMU) [W]","Core 2 Power (SMU) [W]","Core 3 Power (SMU) [W]","Core 4 Power (SMU) [W]","Core 5 Power (SMU) [W]","CPU Core Power [W]","CPU SoC Power [W]","Core+SoC Power [W]","CPU PPT [W]","Infinity Fabric Clock (FCLK) [MHz]","Memory Controller Clock (UCLK) [MHz]","CPU PPT Limit [%]","CPU TDC Limit [%]","CPU EDC Limit [%]","Power Reporting Deviation (Accuracy) [%]","Thermal Throttling (HTC) [Yes/No]","Thermal Throttling (PROCHOT CPU) [Yes/No]","Thermal Throttling (PROCHOT EXT) [Yes/No]","Motherboard [°C]","CPU [°C]","Auxiliary [°C]","CPU (PECI) [°C]","Vcore [V]","+3.3V (AVCC) [V]","+3.3V (3VCC) [V]","VIN4 [V]","3VSB [V]","VBAT [V]","VTT [V]","VIN5 [V]","VIN6 [V]","+12V [V]","+5V [V]","CPU1 [RPM]","Chassis2 [RPM]","Chassis Intrusion [Yes/No]","Drive Temperature [°C]","Drive Remaining Life [%]","Drive Failure [Yes/No]","Drive Warning [Yes/No]","Total Host Writes [GB]","Total Host Reads [GB]","Read Activity [%]","Write Activity [%]","Total Activity [%]","Read Rate [MB/s]","Write Rate [MB/s]","Read Total [MB]","Write Total [MB]","GPU Thermal Diode [°C]","GPU Core Voltage (VDDC) [V]","GPU Fan (ODN) [RPM]","GPU Core Current [A]","GPU Core Power [W]","GPU Chip Power [W]","GPU Clock [MHz]","GPU Memory Clock [MHz]","GPU Utilization [%]","GPU D3D Usage [%]","GPU Memory Controller Utilization [%]","GPU I/O Utilization [%]","GPU Video Decode 0 Usage [%]","GPU Video Encode 0 Usage [%]","GPU Video Encode 1 Usage [%]","GPU Video Encode 2 Usage [%]","GPU Video Encode 3 Usage [%]","GPU Video Encode 4 Usage [%]","GPU Computing (High Priority Compute) Usage [%]","GPU Computing (Compute 3) Usage [%]","GPU Computing (Compute 0) Usage [%]","GPU Computing (Compute 1) Usage [%]","GPU Fan Speed [%]","GPU D3D Memory Dedicated [MB]","GPU D3D Memory Dynamic [MB]","PCIe Link Speed [GT/s]","GPU Memory Usage [MB]","GPU Memory Errors []","GPU Voltage [V]","GPU VRM Voltage In (VIN/+12V) [V]","GPU VID [V]","GPU Current [A]","GPU VRM Power Out (POUT) [W]","Total DL [MB]","Total UP [MB]","Current DL rate [KB/s]","Current UP rate [KB/s]","Total DL [MB]","Total UP [MB]","Current DL rate [KB/s]","Current UP rate [KB/s]","Total Errors []","GPU Aux Current [A]","Framerate [FPS]","Framerate 1% Low [FPS]","Framerate 0.1% Low [FPS]",
18.2.2021,17:2:14.985,15859,21704,42.2,10166,22532,31.0,0.0,1.019,1.019,1.019,1.019,1.019,1.019,3593.5,4242.3,4242.3,4242.3,4242.3,4242.3,99.8,1815.9,189.2,755.4,784.7,811.3,551.8,354.6,127.7,548.8,187.3,401.3,439.6,580.6,17.8,2.3,13.1,16.2,19.3,10.8,5.4,3.1,10.8,0.7,5.4,3.8,19.3,9.1,36.0,42.5,42.5,42.5,42.5,42.5,0.0,44.2,47.3,45.7,38.2,39.7,40.9,55.8,52.7,54.3,61.8,60.3,59.1,0.0,0.0,0.0,0.0,0.0,0.0,1597.1,16.00,16,18,18,38,75,560,1,55.5,42.5,40.0,1.438,1.087,1.463,18.806,11.833,18.801,34.307,49.133,2.875,3.478,3.263,2.099,2.365,2.542,25.759,12.869,38.628,49.232,1500.0,800.0,55.9,31.3,38.1,154.3,No,No,No,38.0,55.8,38.0,40.0,1.328,3.296,3.296,0.784,3.424,3.264,1.840,0.176,0.128,11.933,5.016,1326,2749,No,41,100.0,No,No,3691,1804,0.1,0.3,0.3,0.024,2.230,9650,4610,57,1.106,869,97.031,107.341,131.195,1340.0,1750.0,100.0,90.4,28.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,3432,95,8.0,3331,0,1.144,11.484,1.138,81.250,92.871,0,0,0.000,0.000,246,15,1.399,2.062,0,0.000,142,120,119,
18.2.2021,17:2:17.004,15857,21705,42.2,10159,22539,31.0,0.0,1.456,1.444,1.444,1.444,1.444,1.444,4242.3,4242.3,4242.3,4242.3,4242.3,4242.3,99.8,1767.6,192.0,785.3,745.3,739.0,511.0,327.2,119.0,567.5,174.4,359.7,482.9,564.2,22.4,2.3,16.2,19.3,21.7,8.5,3.1,1.5,6.2,1.5,6.2,10.0,22.4,9.9,42.5,42.5,42.5,42.5,42.5,42.5,0.0,43.0,46.4,43.9,37.8,39.7,40.8,57.0,53.6,56.1,62.2,60.3,59.2,0.0,0.0,0.0,0.0,0.0,0.0,1597.1,16.00,16,18,18,38,75,560,1,52.3,42.7,40.3,1.438,1.087,1.463,18.925,11.808,18.923,33.758,49.371,2.882,3.551,3.191,2.092,2.426,2.568,26.039,12.842,38.880,49.486,1500.0,800.0,56.2,31.5,37.5,155.2,No,No,No,38.0,52.5,38.0,40.0,1.344,3.296,3.296,0.784,3.424,3.264,1.840,0.176,0.128,11.986,5.016,1398,2755,No,41,100.0,No,No,3691,1804,0.0,0.1,0.1,0.000,1.085,9650,4612,58,1.106,898,88.594,98.007,131.637,1340.0,1750.0,100.0,99.6,21.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,3432,95,8.0,3331,0,1.113,11.516,1.138,87.500,98.047,0,0,0.000,0.000,246,15,0.180,1.215,0,0.000,141,119,60,
18.2.2021,17:2:19.035,15856,21706,42.2,10160,22538,31.0,0.0,1.019,1.019,1.456,1.456,1.456,1.456,3593.5,4242.3,4242.3,4242.3,4242.3,4242.3,99.8,1690.4,181.9,725.8,743.5,731.6,475.9,295.4,108.8,509.5,198.9,304.4,435.7,533.5,11.5,3.8,13.0,10.0,13.8,10.7,8.4,3.0,13.0,3.8,3.0,16.1,16.1,9.2,36.0,42.5,42.5,42.5,42.5,42.5,0.0,41.2,44.5,42.3,35.6,37.6,38.2,58.8,55.5,57.7,64.4,62.4,61.8,0.0,0.0,0.0,0.0,0.0,0.0,1597.1,16.00,16,18,18,38,75,560,1,49.1,42.4,39.3,1.444,1.087,1.463,18.401,11.813,18.407,31.522,48.590,2.796,3.404,3.089,1.994,2.329,2.385,25.228,12.846,38.075,48.685,1500.0,800.0,55.3,30.7,35.0,157.2,No,No,No,38.0,49.4,38.0,40.0,1.232,3.296,3.296,0.784,3.424,3.264,1.840,0.176,0.128,11.986,5.016,1345,2749,No,41,100.0,No,No,3691,1804,0.0,0.1,0.1,0.000,1.034,9650,4614,58,1.125,914,95.344,107.262,131.988,1340.0,1750.0,99.0,99.9,43.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,3432,95,8.0,3331,0,1.094,11.516,1.138,91.797,103.711,0,0,0.000,0.000,246,15,0.076,1.173,0,0.000,129,112,60,
18.2.2021,17:2:21.062,15857,21705,42.2,10161,22537,31.0,0.0,1.019,1.019,1.019,1.019,1.019,1.463,4242.3,4242.3,4242.3,4242.3,4242.3,4242.3,99.8,1662.5,178.9,786.3,727.5,761.7,545.1,317.8,110.7,552.6,198.6,297.5,426.3,547.1,14.6,1.5,11.5,11.5,12.3,11.5,6.1,2.3,10.0,3.0,3.8,8.4,14.6,8.0,42.5,42.5,42.5,42.5,42.5,42.5,0.0,40.5,44.9,42.8,35.7,37.9,37.6,59.5,55.1,57.2,64.3,62.1,62.4,0.0,0.0,0.0,0.0,0.0,0.0,1597.1,16.00,16,18,18,38,75,560,1,46.6,43.3,45.0,1.438,1.087,1.463,18.690,11.809,18.690,31.835,49.142,2.815,3.567,3.253,2.065,2.431,2.408,25.785,12.842,38.627,49.228,1500.0,800.0,55.9,31.1,35.4,155.3,No,No,No,38.0,46.0,38.0,40.0,1.232,3.312,3.296,0.784,3.424,3.264,1.840,0.176,0.128,11.933,5.016,1317,2749,No,41,100.0,No,No,3691,1804,0.0,0.0,0.0,0.000,0.517,9650,4615,59,1.106,937,101.250,112.008,132.770,1340.0,1750.0,100.0,99.7,37.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,3432,95,8.0,3331,0,1.106,11.484,1.138,81.055,90.234,0,0,0.000,0.000,246,15,0.000,1.206,0,1.000,123,108,60,
18.2.2021,17:2:23.079,15853,21709,42.2,10155,22543,31.0,0.0,1.456,1.456,1.450,1.450,1.450,1.450,4242.3,3393.8,4242.3,4242.3,4242.3,4242.3,99.8,1639.4,172.2,815.4,684.9,741.6,494.5,304.3,140.2,531.5,170.8,321.6,423.9,536.7,13.9,3.1,19.3,18.6,14.7,7.7,6.9,4.6,15.5,6.2,4.6,8.5,19.3,10.3,42.5,34.0,42.5,42.5,42.5,42.5,0.0,40.0,45.3,42.3,36.3,37.6,38.5,60.0,54.7,57.7,63.7,62.4,61.5,0.0,0.0,0.0,0.0,0.0,0.0,1597.1,16.00,16,18,18,38,75,560,1,45.3,42.9,41.8,1.444,1.087,1.469,18.715,11.802,18.708,31.994,49.177,2.751,3.551,3.156,2.104,2.397,2.439,25.860,12.835,38.695,49.281,1500.0,800.0,56.0,31.2,35.5,157.1,No,No,No,38.0,45.5,38.0,40.0,1.328,3.296,3.296,0.784,3.424,3.264,1.840,0.176,0.128,11.986,5.016,1241,2749,No,41,100.0,No,No,3691,1804,0.0,0.0,0.0,0.000,0.871,9650,4616,59,1.106,958,87.750,97.073,136.598,1340.0,1750.0,100.0,100.0,44.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,3432,95,8.0,3331,0,1.113,11.484,1.144,97.656,108.984,0,0,0.000,0.000,246,15,0.120,1.277,0,1.000,116,100,60,
18.2.2021,17:2:25.102,15855,21708,42.2,10156,22542,31.0,0.0,1.019,1.463,1.463,1.463,1.438,1.438,4242.3,4242.3,4242.3,4242.3,4242.3,4242.3,99.8,1604.9,178.7,733.1,741.8,674.5,505.4,327.7,114.5,520.5,199.6,281.0,431.9,526.1,12.3,3.8,19.2,13.8,8.4,12.3,7.6,0.7,5.3,3.8,4.6,9.2,19.2,8.4,42.5,42.5,42.5,42.5,42.5,42.5,0.0,39.0,44.4,41.0,35.0,36.8,37.3,61.0,55.6,59.0,65.0,63.2,62.7,0.0,0.0,0.0,0.0,0.0,0.0,1597.1,16.00,16,18,18,38,75,560,1,44.8,42.9,43.5,1.444,1.087,1.463,18.610,11.793,18.617,31.028,49.060,2.707,3.499,3.101,2.096,2.384,2.413,25.724,12.825,38.550,49.157,1500.0,800.0,55.9,31.0,34.5,158.3,No,No,No,38.0,44.8,38.0,40.0,1.344,3.312,3.296,0.784,3.424,3.264,1.840,0.176,0.128,11.986,5.016,1250,2755,No,41,100.0,No,No,3691,1804,0.0,0.0,0.0,0.000,0.230,9650,4617,60,1.131,972,99.563,112.630,137.000,1340.0,1750.0,100.0,100.0,47.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,3432,95,8.0,3331,0,1.113,11.484,1.144,88.086,98.340,0,0,0.000,0.000,246,15,0.185,1.235,0,0.000,111,99,60,
18.2.2021,17:2:27.118,15850,21712,42.1,10155,22543,31.0,0.0,1.450,1.444,1.444,1.444,1.444,1.444,3433.8,4242.3,4242.3,4242.3,4242.3,4242.3,99.8,1614.9,160.8,635.9,813.0,576.5,627.5,332.3,117.7,503.7,201.7,316.7,425.0,527.1,12.4,0.7,9.3,16.2,10.8,8.5,3.1,0.7,5.4,1.5,5.4,8.5,16.2,6.9,34.4,42.5,42.5,42.5,42.5,42.5,0.0,39.3,44.1,41.4,35.7,36.4,38.0,60.7,55.9,58.6,64.3,63.6,62.0,0.0,0.0,0.0,0.0,0.0,0.0,1597.1,16.00,16,18,18,38,75,560,1,44.5,43.1,46.5,1.444,1.087,1.463,18.712,11.805,18.713,31.352,49.241,2.739,3.525,3.134,2.124,2.377,2.467,25.923,12.838,38.761,49.362,1500.0,800.0,56.1,31.2,34.8,157.7,No,No,No,38.0,44.5,38.0,40.0,1.456,3.312,3.296,0.784,3.424,3.264,1.840,0.176,0.128,11.933,5.016,1225,2749,No,41,100.0,No,No,3691,1804,0.0,0.0,0.1,0.008,0.184,9650,4617,61,1.144,990,97.875,111.945,136.590,1340.0,1750.0,100.0,100.0,41.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,3432,95,8.0,3331,0,1.138,11.516,1.144,89.453,103.906,0,0,0.000,0.000,246,15,0.000,1.215,0,0.000,113,99,60,
18.2.2021,17:2:29.138,15852,21710,42.2,10151,22547,31.0,0.0,1.463,1.463,1.463,1.450,1.450,1.450,3593.5,4242.3,4242.3,4242.3,4242.3,4242.3,99.8,1623.5,167.0,601.2,887.0,614.2,595.2,332.8,139.3,522.0,220.4,325.1,422.3,537.5,13.9,3.1,20.1,20.9,15.5,13.9,6.9,5.4,13.1,9.3,6.2,11.6,20.9,11.7,36.0,42.5,42.5,42.5,42.5,42.5,0.0,39.4,44.6,41.4,35.3,37.4,37.2,60.6,55.4,58.6,64.7,62.6,62.8,0.0,0.0,0.0,0.0,0.0,0.0,1597.1,16.00,16,18,18,38,75,560,1,44.5,43.0,44.0,1.444,1.087,1.463,18.785,11.818,18.779,31.328,49.334,2.765,3.510,3.178,2.120,2.422,2.436,25.964,12.853,38.817,49.405,1500.0,800.0,56.1,31.3,34.8,157.3,No,No,No,38.0,44.5,38.0,40.0,1.392,3.296,3.296,0.784,3.424,3.280,1.840,0.176,0.128,11.933,5.016,1226,2743,No,41,100.0,No,No,3691,1804,0.0,0.0,0.0,0.000,0.058,9650,4617,61,1.131,999,101.250,114.539,135.488,1340.0,1750.0,96.0,100.0,48.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,3432,96,8.0,3331,0,1.100,11.531,1.144,83.008,91.211,0,0,0.000,0.000,246,15,0.165,1.227,0,1.000,114,99,60,
18.2.2021,17:2:31.154,15853,21710,42.2,10153,22545,31.0,0.0,1.463,1.444,1.444,1.444,1.444,1.444,4242.3,4242.3,4242.3,4242.3,4242.3,4242.3,99.8,1691.6,198.9,633.6,982.2,674.1,676.3,362.7,168.4,594.8,202.9,330.3,428.9,578.7,23.2,3.8,16.2,27.9,14.7,13.9,10.8,3.8,17.0,4.6,4.6,7.7,27.9,12.4,42.5,42.5,42.5,42.5,42.5,42.5,0.0,41.0,46.2,43.0,36.7,37.9,38.3,59.0,53.8,57.0,63.3,62.1,61.7,0.0,0.0,0.0,0.0,0.0,0.0,1597.1,16.00,16,18,18,38,75,560,1,44.5,43.7,43.8,1.381,1.087,1.394,19.161,11.871,19.160,32.546,49.874,2.955,3.731,3.415,2.224,2.509,2.458,26.484,12.909,39.394,50.005,1500.0,800.0,56.8,31.9,36.2,152.7,No,No,No,38.0,44.5,38.0,40.0,1.392,3.296,3.296,0.784,3.424,3.280,1.840,0.176,0.128,11.933,5.016,1235,2749,No,41,100.0,No,No,3692,1804,0.0,0.1,0.1,0.016,0.213,9650,4618,61,1.150,1027,98.719,113.527,135.387,1340.0,1750.0,99.0,99.9,45.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,3432,97,8.0,3331,0,1.138,11.516,1.144,83.008,97.070,0,0,0.000,0.000,246,15,6.558,1.215,0,1.000,114,98,92,
18.2.2021,17:2:33.172,15856,21706,42.2,10155,22543,31.0,0.0,1.456,1.456,1.444,1.444,1.444,1.369,4242.3,4192.4,4192.4,4192.4,4192.4,4192.4,99.8,1777.3,228.2,576.4,1120.6,726.7,762.0,470.7,184.1,799.0,217.9,396.3,491.3,645.9,23.2,7.7,12.4,24.8,19.3,18.6,13.1,3.8,17.8,8.5,13.1,9.3,24.8,14.3,42.5,42.0,42.0,42.0,42.0,42.0,0.0,43.0,48.1,44.7,38.9,41.4,40.5,57.0,51.9,55.3,61.1,58.6,59.5,0.0,0.0,0.0,0.0,0.0,0.0,1597.1,16.00,16,18,18,38,75,560,1,44.5,44.1,45.8,1.375,1.087,1.394,19.688,11.931,19.688,34.703,50.574,3.146,3.825,3.554,2.353,2.801,2.556,27.066,12.975,40.041,50.668,1500.0,800.0,57.6,32.8,38.6,147.9,No,No,No,38.0,44.5,38.0,40.0,1.376,3.312,3.296,0.784,3.424,3.280,1.840,0.176,0.128,11.986,5.016,1235,2755,No,41,100.0,No,No,3692,1804,0.0,0.0,0.0,0.000,0.077,9650,4618,61,1.100,1034,93.656,103.022,132.609,1340.0,1750.0,100.0,99.3,45.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,3432,99,8.0,3331,0,1.138,11.516,1.144,83.008,98.926,0,0,0.000,0.000,246,15,0.592,1.241,0,1.000,110,98,91,
